band,img
The Pet Shop Boys,https://cdn.britannica.com/s:300x300/70/122870-004-5FA1D70C.jpg
"Peter, Paul and Mary",https://images.pexels.com/photos/878/sea-sky-beach-holiday.jpg?auto=compress&cs=tinysrgb&h=350
Pink Floyd,https://cdn.britannica.com/s:300x300/64/23164-004-AA40200F.jpg
Pixies,https://cdn.britannica.com/s:300x300/39/198039-004-DC026C94.jpg
The Platters,https://cdn.britannica.com/s:300x300/45/111745-004-30CB5740.jpg
Poco,
The Police,https://cdn.britannica.com/s:300x300/13/162313-004-916A3A0A.jpg
Portishead,https://cdn.britannica.com/s:300x300/08/131408-004-8FBAE1F1.jpg
Public Enemy,https://images.pexels.com/photos/1746207/pexels-photo-1746207.jpeg?auto=compress&cs=tinysrgb&h=350
Puffy AmiYumi,https://cdn.britannica.com/s:300x300/23/98223-004-92A527F2.jpg
Queen,https://cdn.britannica.com/s:300x300/83/149183-004-56E629EA.jpg
R.E.M.,https://cdn.britannica.com/s:300x300/48/23048-004-8ABE02C6.jpg
Radiohead,https://cdn.britannica.com/s:300x300/98/162198-004-AFF2920B.jpg
Rage Against the Machine,https://images.pexels.com/photos/1567614/pexels-photo-1567614.jpeg?auto=compress&cs=tinysrgb&h=350
The Ramones,https://cdn.britannica.com/s:300x300/52/23152-004-2FC44B0F.jpg
Rascal Flatts,https://cdn.britannica.com/s:300x300/07/147107-004-B13087AF.jpg
Red Hot Chili Peppers,https://cdn.britannica.com/s:300x300/42/201342-004-A84DB483.jpg
The Replacements,
The Rolling Stones,https://cdn.britannica.com/s:300x300/70/21270-004-3E74C5FA.jpg
Roxy Music,https://cdn.britannica.com/s:300x300/72/122872-004-1A003DE4.jpg
Run-D.M.C.,https://cdn.britannica.com/s:300x300/16/198716-004-B1CA2683.jpg
Sam and Dave,
Santana,https://cdn.britannica.com/s:300x300/41/131341-004-ED1BCFD1.jpg
The Sex Pistols,https://cdn.britannica.com/s:300x300/20/23020-004-026097D0.jpg
The Shadows,https://cdn.britannica.com/s:300x300/64/23564-004-015C53AC.jpg
The Shirelles,
Sleater-Kinney,https://cdn.britannica.com/s:300x300/43/201343-004-20BD0539.jpg
Sly and the Family Stone,https://cdn.britannica.com/s:300x300/18/23018-004-9EF2D005.jpg
Smashing Pumpkins,https://images.pexels.com/photos/1374545/pexels-photo-1374545.jpeg?auto=compress&cs=tinysrgb&h=350
The Smiths,https://cdn.britannica.com/s:300x300/17/23017-004-C0102DE8.jpg
Sonic Youth,https://cdn.britannica.com/s:300x300/73/122873-004-D8985A7A.jpg
The Soul Stirrers,https://images.pexels.com/photos/1051073/pexels-photo-1051073.jpeg?auto=compress&cs=tinysrgb&h=350
Spice Girls,https://cdn.britannica.com/s:300x300/75/128475-004-83066033.jpg
Stanley Brothers,https://cdn.britannica.com/s:300x300/38/99038-004-96A5DCCF.jpg
The Staple Singers,https://cdn.britannica.com/s:300x300/05/198205-004-42A0E81E.jpg
Steely Dan,https://cdn.britannica.com/s:300x300/45/23345-004-37717395.jpg
The Strokes,
TV on the Radio,https://images.pexels.com/photos/161856/architecture-tv-tower-landmark-dusseldorf-161856.jpeg?auto=compress&cs=tinysrgb&h=350
Talking Heads,https://cdn.britannica.com/s:300x300/77/23077-004-0CBB25DF.jpg
Television,https://cdn.britannica.com/s:300x300/97/6897-004-A7A427B6.jpg
The Temptations,https://cdn.britannica.com/s:300x300/14/23014-004-E34F914C.jpg
Tinariwen,https://cdn.britannica.com/s:300x300/23/164623-004-E444CF72.jpg
Toots and the Maytals,
Traffic,https://images.pexels.com/photos/7674/pexels-photo.jpg?auto=compress&cs=tinysrgb&h=350
The Turtles,https://images.pexels.com/photos/847393/pexels-photo-847393.jpeg?auto=compress&cs=tinysrgb&h=350
U2,https://cdn.britannica.com/s:300x300/43/23043-004-3A1F5470.jpg
Van Halen,https://cdn.britannica.com/s:300x300/41/23141-004-12A94725.jpg
The Velvet Underground,https://cdn.britannica.com/s:300x300/75/23075-004-C887127F.jpg
The Ventures,https://cdn.britannica.com/s:300x300/99/23199-004-B697A1B9.jpg
The Weavers,https://images.pexels.com/photos/158734/bird-nest-eggs-blue-158734.jpeg?auto=compress&cs=tinysrgb&h=350
The White Stripes,https://images.pexels.com/photos/1739557/pexels-photo-1739557.jpeg?auto=compress&cs=tinysrgb&h=350
The Who,https://cdn.britannica.com/s:300x300/29/161829-004-C889C468.jpg
Wilco,
X,https://cdn.britannica.com/s:300x300/54/201354-004-2CAE7D3C.jpg
The Yardbirds,https://cdn.britannica.com/s:300x300/44/23144-004-001A651E.jpg
Yes,https://cdn.britannica.com/s:300x300/06/128406-004-D2B2DDDC.jpg
Yo La Tengo,https://images.pexels.com/photos/167491/pexels-photo-167491.jpeg?auto=compress&cs=tinysrgb&h=350
ZZ Top,https://images.pexels.com/photos/1738655/pexels-photo-1738655.jpeg?auto=compress&cs=tinysrgb&h=350
